ประเภท โรงงานหลัก,ลำดับที่,ประเภทหรือชนิดของโรงงาน,โรงงานจำพวกที่ 1,โรงงานจำพวกที่ 2,โรงงานจำพวกที่ 3
ประเภท โรงงานหลัก,ลำดับที่,ประเภทหรือชนิดของโรงงาน,โรงงานจำพวกที่ 1,โรงงานจำพวกที่ 2,โรงงานจำพวกที่ 3
00100,1,โรงงานประกอบกิจการเกี่ยวกับการบ่มใบชาหรือใบยาสูบ,-,"เครื่องจักรไม่เกิน
	 75 แรงม้า","เครื่องจักรเกิน
	75 แรงม้า"
002,2,"โรงงานประกอบกิจการเกี่ยวกับผลิตผลเกษตรกรรมอย่างใดอย่างหนึ่งหรือหลายอย่าง 
      ดังต่อไปนี้",,,
00201,,"(1) การต้ม 
      นึ่ง หรืออบพืชหรือเมล็ดพืช",-,"เครื่องจักรไม่เกิน heat
      75 แรงม้า","เครื่องจักรเกิน 
      75 แรงม้า"
00202,,"(2) การกะเทาะเมล็ด 
      หรือเปลือกเมล็ดพืช",-,"เครื่องจักรไม่เกิน 
      75 แรงม้า","เครื่องจักรเกิน 
      75 แรงม้า"
00203,,(3) การอัดปอหรือใบยาสูบ,-,"เครื่องจักรไม่เกิน 
      75 แรงม้า","เครื่องจักรเกิน 
      75 แรงม้า"
00204,,"(4) การหีบหรืออัดฝ้าย 
      หรือการปั่นหรืออัดนุ่น",-,-,โรงงานทุกขนาด
00205,,"(5) การเก็บรักษาหรือลำเลียงพืช 
      เมล็ดพืช หรือผลิตผลจากพืช  ในไซโล โกดังหรือคลังสินค้า",-,-,โรงงานทุกขนาด
00206,,"(6) การบด 
      ป่น หรือย่อยส่วนต่าง ๆ ของพืช ซึ่งมิใช่เมล็ดพืช หรือหัวพืช",-,"เครื่องจักรไม่เกิน 
      75 แรงม้า","เครื่องจักรเกิน 
      75 แรงม้า"
00207,,"(7) การเผาถ่านจากกะลามะพร้าว 
      หรือการบดถ่านหรือแบ่งบรรจุผงถ่าน ที่เผาได้จากกะลามะพร้าว",-,-,โรงงานทุกขนาด
00208,,"(8) การเพาะเชื้อเห็ด 
      กล้วยไม้ หรือถั่วงอก",-,"เครื่องจักรไม่เกิน 
      75 แรงม้าและคนงานไม่เกิน 75 คน","เครื่องจักรเกิน 
      75 แรงม้า หรือคนงานเกิน 75 คน"
00209,,"(9) การร่อน 
      ล้าง คัด หรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม",-,"เครื่องจักรไม่เกิน 
      75 แรงม้าและคนงานไม่เกิน 75 คน","เครื่องจักรเกิน 
      75 แรงม้า หรือคนงานเกิน 75 คน"
